word	Average
	AoA
mama	2.04
ja	2.25
mamma	2.33
papa	2.34
nee	2.56
kaka	2.61
pappa	2.76
ikke	2.90
tutje	2.94
tuut	2.96
neen	2.97
woef	3.04
ik	3.06
ai	3.19
plassen	3.25
bah	3.33
drie	3.41
koek	3.45
eten	3.46
papje	3.54
drinken	3.56
slapen	3.57
pepe	3.60
school	3.61
bal	3.63
water	3.67
boom	3.69
melk	3.69
een	3.70
toet	3.71
schoen	3.71
hallo	3.73
hand	3.73
zusje	3.74
beertje	3.75
hond	3.76
bed	3.76
broer	3.76
slaapwel	3.78
buik	3.78
mond	3.78
voeten	3.79
pijn	3.79
speelgoed	3.84
verjaardag	3.84
pop	3.84
dada	3.85
jongen	3.85
twee	3.85
jas	3.85
meisje	3.89
zeep	3.90
spelen	3.90
WC	3.90
rood	3.91
kat	3.92
boem	3.93
hoofd	3.93
appel	3.94
je	3.94
kusje	3.94
stoel	3.95
neus	3.95
kleuren	3.96
niet	3.96
televisie	3.96
geel	3.98
opa	3.98
vader	3.99
moeder	3.99
handen	4.00
hom	4.00
brood	4.01
duim	4.01
vier	4.01
pap	4.01
sint	4.02
goed	4.03
klein	4.03
stout	4.03
tafel	4.03
piep	4.04
groen	4.04
mam	4.04
onderbroek	4.05
tekening	4.06
vinger	4.07
dier	4.07
teen	4.08
been	4.09
hebben	4.09
koud	4.09
poes	4.09
kleurtjes	4.10
voet	4.11
oog	4.11
kakken	4.11
tiktak	4.11
gras	4.12
kijk	4.14
lopen	4.14
moe	4.14
zus	4.14
blauw	4.14
dorst	4.15
kleuterklas	4.15
honger	4.15
wenen	4.15
vijf	4.16
asjeblieft	4.17
en	4.17
poesje	4.17
kind	4.17
koe	4.17
snoep	4.19
schoenen	4.19
lepel	4.19
broek	4.19
kleurpotloden	4.20
aap	4.21
bad	4.21
knuffel	4.21
zitten	4.21
zwaaien	4.21
beer	4.22
auto	4.22
klas	4.22
mij	4.22
huis	4.24
vogel	4.24
knuffelbeest	4.25
baby	4.25
sneeuw	4.26
bloem	4.27
piama	4.27
braaf	4.28
groot	4.28
mooi	4.28
op	4.28
tekenen	4.28
toilet	4.28
zoen	4.30
arm	4.30
stiften	4.30
haar	4.31
spel	4.31
pyjama	4.31
stop	4.32
zwart	4.33
foei	4.33
of	4.33
blij	4.34
bravo	4.34
donker	4.34
hap	4.34
komen	4.34
kus	4.34
leuk	4.34
zien	4.34
oma	4.34
zon	4.35
moeke	4.35
naam	4.36
bruin	4.37
kip	4.37
ijsje	4.38
kerstboom	4.39
kleren	4.39
kleur	4.40
choco	4.40
teddybeer	4.40
gaan	4.40
huilen	4.40
ogen	4.40
zwijgen	4.40
hoera	4.40
jasje	4.41
zand	4.41
katje	4.42
fiets	4.42
man	4.44
jongens	4.44
koekjes	4.44
oren	4.44
speelplaats	4.44
deur	4.44
trap	4.45
bang	4.45
jaar	4.45
puzzel	4.46
tutter	4.46
dag	4.46
hoog	4.46
kijken	4.46
kruipen	4.46
vallen	4.46
willen	4.46
juf	4.46
patatjes	4.47
kleurboek	4.47
oei	4.47
banaan	4.48
oor	4.48
ballon	4.48
ei	4.49
regen	4.49
boot	4.50
jarig	4.50
prinses	4.50
vingers	4.50
zes	4.50
konijn	4.50
kous	4.50
knuffelbeer	4.51
ma	4.51
pang	4.52
lekker	4.53
veel	4.53
vis	4.53
muis	4.54
vork	4.54
wit	4.54
kousen	4.54
stil	4.54
hoofdje	4.55
katten	4.55
morsen	4.55
boek	4.55
jou	4.56
kleurpotlood	4.56
snottebel	4.56
zeven	4.56
tong	4.57
raam	4.58
doen	4.59
horen	4.59
ijs	4.59
lachen	4.59
moeten	4.59
nat	4.59
springen	4.59
vies	4.59
wakker	4.59
praten	4.59
schommel	4.59
kak	4.60
zakdoek	4.60
varken	4.60
winkeltje	4.60
nacht	4.60
tuin	4.60
vlees	4.61
daar	4.61
dat	4.61
handjeklap	4.61
soep	4.61
woord	4.61
muts	4.62
stap	4.63
tand	4.64
licht	4.64
poep	4.64
vlug	4.65
boos	4.65
kop	4.65
morgen	4.65
sok	4.65
spreken	4.65
sprookje	4.65
staan	4.65
stoppen	4.65
zacht	4.65
thuis	4.66
grond	4.66
bord	4.66
knie	4.66
plas	4.66
frietjes	4.67
glijbaan	4.67
jij	4.67
paard	4.67
paashaas	4.68
groenten	4.70
nog	4.70
fruit	4.70
duwen	4.71
kuiken	4.71
papier	4.71
stappen	4.71
warm	4.71
ziek	4.71
tien	4.71
help	4.72
hij	4.72
knuffelen	4.72
paasei	4.72
speeltijd	4.72
van	4.72
wij	4.72
pa	4.73
blabla	4.74
schaap	4.74
lied	4.74
kamer	4.75
eieren	4.75
jullie	4.75
koekje	4.75
miauwen	4.75
speeltuin	4.75
slaapkamer	4.75
potlood	4.76
kast	4.77
chocolade	4.78
kapot	4.78
klaar	4.78
kleuter	4.78
leeg	4.78
liggen	4.78
slaap	4.78
zee	4.78
bloemen	4.78
de	4.78
we	4.78
beest	4.78
vlieg	4.78
steen	4.78
lip	4.79
mensen	4.80
sorry	4.80
mes	4.80
friet	4.80
acht	4.81
eend	4.81
trui	4.83
balletje	4.83
blokkendoos	4.83
het	4.83
luisteren	4.83
oké	4.83
tandenborstel	4.83
tandpasta	4.83
verhaal	4.83
welterusten	4.83
dromen	4.84
flink	4.84
gooien	4.84
krijgen	4.84
muziek	4.84
plakken	4.84
sneeuwen	4.84
verven	4.84
vriend	4.84
zak	4.84
zingen	4.84
glas	4.84
straf	4.84
fruitsap	4.85
eentje	4.85
teddy	4.85
negen	4.86
potje	4.87
dokter	4.87
zetel	4.87
snot	4.87
zandbak	4.88
rug	4.88
oranje	4.88
lamp	4.89
beker	4.89
doos	4.89
chocola	4.89
met	4.89
paddenstoel	4.89
pannenkoek	4.89
snoepje	4.89
vuur	4.89
trein	4.89
frieten	4.90
geluid	4.90
kado	4.90
regenen	4.90
bijten	4.90
geven	4.90
rijden	4.90
shampoo	4.90
T-shirt	4.90
vragen	4.90
vuilnisbak	4.90
weg	4.90
staart	4.90
ruzie	4.90
fles	4.91
spin	4.91
avond	4.92
chocomelk	4.92
ding	4.92
stok	4.92
oogje	4.92
cola	4.93
lego	4.93
armen	4.94
alsjeblief	4.94
barbiepop	4.94
bavet	4.94
boterham	4.94
in	4.94
kou	4.94
nu	4.94
steentje	4.94
boter	4.95
klokje	4.95
badkamer	4.95
vertellen	4.95
korst	4.95
aapje	4.96
buiten	4.96
familie	4.96
fietsen	4.96
knippen	4.96
kunnen	4.96
poot	4.96
roepen	4.96
slaan	4.96
val	4.96
vol	4.96
wassen	4.96
kerst	4.96
wind	4.97
vuil	4.97
bakker	4.98
muur	4.98
stift	4.99
bus	4.99
wortel	4.99
vraag	5.00
appelmoes	5.00
bedtijd	5.00
hier	5.00
maar	5.00
snoepen	5.00
tikkertje	5.00
wat	5.00
zaterdag	5.00
zondag	5.00
fust	5.00
spinnaker	5.00
dansen	5.00
kin	5.01
prins	5.01
luier	5.01
bloed	5.01
spiegel	5.02
eitje	5.02
wolken	5.02
blazen	5.03
droog	5.03
kerstmis	5.03
lawaai	5.03
nemen	5.03
nummer	5.03
sterk	5.03
tekenfilm	5.03
vliegen	5.03
voelen	5.03
zeggen	5.03
schaar	5.03
grijs	5.03
blaf	5.04
kussen	5.04
keuken	5.04
tante	5.04
kaas	5.05
lijm	5.05
duimzuigen	5.05
mens	5.05
clown	5.05
bloemetje	5.06
bomen	5.06
fruitpap	5.06
hoe	5.06
lippen	5.06
verstoppertje	5.06
vingerverf	5.06
zij	5.06
peer	5.06
olifant	5.08
vloer	5.08
start	5.08
warmte	5.08
traan	5.08
groeien	5.09
lief	5.09
los	5.09
maandag	5.09
slecht	5.09
vroeg	5.09
winkel	5.09
rij	5.09
mouw	5.10
blad	5.10
appelsien	5.10
pot	5.10
huisdier	5.11
tomaat	5.11
lach	5.11
ouders	5.11
af	5.11
haren	5.11
mannetje	5.11
schooljuf	5.11
twaalf	5.11
chocolatje	5.11
limonade	5.11
telefoon	5.12
knop	5.12
aardbei	5.12
paars	5.12
snor	5.12
vrouw	5.13
put	5.13
beren	5.13
gezicht	5.14
hoek	5.15
eerste	5.15
mee	5.15
ontbijten	5.15
poepje	5.15
pudding	5.15
uitdoen	5.15
cadeau	5.15
carnaval	5.15
fee	5.15
juist	5.15
kammen	5.15
luid	5.15
meer	5.15
strand	5.15
wachten	5.15
zuigen	5.15
ver	5.15
blok	5.15
worst	5.16
moederdag	5.16
leeuw	5.16
fout	5.16
abracadabra	5.17
bedankt	5.17
binnen	5.17
kleuters	5.17
ontbijt	5.17
opeten	5.17
sterretje	5.17
voetballen	5.17
wasco	5.17
spook	5.17
roze	5.18
slaapje	5.18
chips	5.19
winter	5.19
ondergoed	5.19
deken	5.19
nek	5.19
sinaasappelsap	5.20
kabouter	5.20
veters	5.20
geit	5.20
knuffels	5.20
pet	5.21
zwemmen	5.21
kring	5.21
pakjes	5.21
vandaag	5.21
duw	5.21
hik	5.21
kap	5.21
kermis	5.21
kwijt	5.21
monster	5.21
straat	5.21
pan	5.21
zoeken	5.21
sapje	5.22
poppenkast	5.22
kan	5.22
onder	5.22
spelletje	5.22
verf	5.23
donder	5.23
foto	5.24
lucht	5.24
wang	5.24
bij	5.24
prent	5.24
draak	5.25
ring	5.25
vrijdag	5.25
kar	5.26
tut	5.26
aardappel	5.27
antwoord	5.28
bel	5.28
blaffen	5.28
blijven	5.28
graag	5.28
kom	5.28
oud	5.28
ruiken	5.28
stinken	5.28
traag	5.28
diep	5.28
laag	5.28
aai	5.28
abacadabra	5.28
blaadje	5.28
broekje	5.28
dan	5.28
die	5.28
goedemiddag	5.28
lievelingsdier	5.28
muziekje	5.28
pamper	5.28
papfles	5.28
slok	5.29
liegen	5.29
plant	5.29
broodje	5.30
etenstijd	5.30
slapengaan	5.30
appelsiensap	5.30
grootpa	5.30
keukentje	5.30
playmobil	5.30
schooljuffrouw	5.30
TV	5.30
wafel	5.31
sinaasappel	5.31
au	5.31
puree	5.31
nies	5.31
zwempak	5.32
koning	5.32
venster	5.32
keel	5.32
grootvader	5.32
krijt	5.33
zomer	5.33
handschoenen	5.33
stoomboot	5.33
suiker	5.33
boekentas	5.33
goedemorgen	5.33
kleurtje	5.33
knieën	5.33
leerjaar	5.33
lekstok	5.33
luister	5.33
prentenboek	5.33
puzzelen	5.33
sneeuwman	5.33
te	5.33
uit	5.33
uitkleden	5.33
voor	5.33
voornaam	5.33
wip	5.33
zandkasteel	5.33
pielen	5.33
alles	5.33
bos	5.34
erg	5.34
gat	5.34
heten	5.34
kam	5.34
kort	5.34
kwaad	5.34
lang	5.34
lelijk	5.34
maken	5.34
masker	5.34
mogen	5.34
open	5.34
pakken	5.34
planten	5.34
scheet	5.34
slikken	5.34
vangen	5.34
meester	5.34
maan	5.34
zoon	5.34
geld	5.34
vlinder	5.34
mier	5.34
kaak	5.35
heksen	5.35
melktand	5.35
tenen	5.35
wiel	5.35
druif	5.35
citroen	5.36
slee	5.36
droom	5.36
sjaal	5.36
rammelaar	5.37
emmer	5.37
tas	5.37
neef	5.37
bril	5.38
dak	5.38
vest	5.38
politieman	5.38
borstel	5.38
toren	5.38
veter	5.38
dom	5.39
blootje	5.39
boeken	5.39
drankje	5.39
handschoen	5.39
kerstman	5.39
minder	5.39
ons	5.39
paasklok	5.39
plasser	5.39
poppenhoek	5.39
wandelen	5.39
boer	5.39
bil	5.39
hoed	5.39
krokodil	5.40
kleurdoos	5.40
schommelen	5.40
barbie	5.40
helpen	5.40
krabben	5.40
lijmen	5.40
mesje	5.40
verdrietig	5.40
winnen	5.40
haan	5.40
appelsap	5.41
hout	5.41
kasteel	5.41
regenboog	5.41
sleutel	5.41
radio	5.42
vuilbak	5.42
middag	5.42
dutje	5.43
slak	5.44
stem	5.44
praat	5.44
smurf	5.44
wolf	5.44
ster	5.44
wacht	5.44
letter	5.44
voetbal	5.44
avondeten	5.44
brooddoos	5.44
eerst	5.44
gedaan	5.44
kietelen	5.44
nachtzoen	5.44
nooit	5.44
ook	5.44
salami	5.44
slabbetje	5.44
smurfen	5.44
straks	5.44
zo	5.44
zwembroek	5.44
vlek	5.45
boerderij	5.45
billen	5.45
gisteren	5.45
jouw	5.45
kleedje	5.45
kriebels	5.45
na	5.45
bompa	5.45
rits	5.45
bloeden	5.46
buikpijn	5.46
dik	5.46
honing	5.46
kikker	5.46
rond	5.46
tonen	5.46
trekken	5.46
wonen	5.46
worden	5.46
zeer	5.46
zeker	5.46
mis	5.46
yoghurt	5.46
aha	5.47
vaas	5.47
wie	5.47
brug	5.47
ochtend	5.48
hemd	5.48
baard	5.48
koer	5.50
stip	5.50
mandarijn	5.50
aan	5.50
boven	5.50
deze	5.50
dinsdag	5.50
fopspeen	5.50
juffrouw	5.50
laat	5.50
leegdrinken	5.50
misschien	5.50
nieuwjaar	5.50
opdrinken	5.50
opstaan	5.50
taartje	5.50
tranen	5.50
veertien	5.50
verstopt	5.50
vriendin	5.50
wel	5.50
ze	5.50
zwembad	5.50
coca-cola	5.50
paddestoel	5.50
schommelpaard	5.50
legblokjes	5.50
kleed	5.51
dans	5.51
vissen	5.51
getal	5.51
knor	5.52
lijn	5.52
beter	5.53
bouwen	5.53
denken	5.53
heet	5.53
houden	5.53
schoot	5.53
snel	5.53
snuiten	5.53
tak	5.53
tellen	5.53
vinden	5.53
vrij	5.53
weer	5.53
werken	5.53
weten	5.53
wandel	5.53
zetten	5.53
kleermakerszit	5.53
poppenwagen	5.53
kerk	5.53
aardappelen	5.53
trommel	5.53
zolder	5.54
touw	5.54
lolly	5.54
noot	5.54
hok	5.54
oom	5.54
dikzak	5.55
kistje	5.55
waarom	5.55
welk	5.55
zwemband	5.55
hard	5.55
koude	5.55
allemaal	5.56
benen	5.56
bolletje	5.56
buikje	5.56
er	5.56
groente	5.56
jawel	5.56
joepie	5.56
laatste	5.56
meedoen	5.56
meneer	5.56
mijzelf	5.56
rietje	5.56
hart	5.56
kroon	5.56
dochter	5.57
wolk	5.58
bosje	5.58
zwaai	5.58
vechten	5.58
worm	5.58
sokken	5.58
buur	5.58
aaien	5.59
bol	5.59
draaien	5.59
echt	5.59
leven	5.59
links	5.59
noemen	5.59
rap	5.59
schrijven	5.59
stuk	5.59
wol	5.59
ziekenhuis	5.59
spoken	5.59
bakje	5.59
drank	5.59
stuur	5.60
week	5.60
donderdag	5.60
lieveling	5.60
linkerhand	5.60
tafelpoot	5.60
terugleggen	5.60
twintig	5.60
schepje	5.60
kleurstift	5.60
kleuterleidster	5.60
prinsessen	5.60
verkleedkleren	5.60
vake	5.60
ham	5.60
pijl	5.60
ezel	5.61
buggy	5.61
dessert	5.61
geen	5.61
genoeg	5.61
kapoen	5.61
kledij	5.61
knutselen	5.61
kruimels	5.61
paraplu	5.61
sneeuwbal	5.61
speeltje	5.61
stoelen	5.61
zesde	5.61
zijn	5.61
driewieler	5.61
beet	5.61
begin	5.61
reus	5.62
goedendag	5.62
pluim	5.62
spaghetti	5.63
plaats	5.63
rok	5.63
poppenhuis	5.63
patat	5.63
roep	5.63
vrachtwagen	5.64
pony	5.65
schildpad	5.65
gaatje	5.65
goedenavond	5.65
hondenpoep	5.65
breken	5.65
kraan	5.65
lezen	5.65
mol	5.65
nul	5.65
rennen	5.65
schouder	5.65
stom	5.65
vakantie	5.65
geeuwen	5.65
penseel	5.65
kastanje	5.66
pakje	5.66
peter	5.66
slang	5.66
duif	5.66
schep	5.66
erwt	5.67
als	5.67
bijna	5.67
dus	5.67
kriebel	5.67
muizen	5.67
niemand	5.67
omlaag	5.67
speelkwartier	5.67
tanden	5.67
toveren	5.67
nicht	5.67
schip	5.67
spruitjes	5.68
adem	5.68
sport	5.68
draai	5.68
toiletpapier	5.68
badpak	5.69
reis	5.69
putje	5.69
vliegtuig	5.69
dief	5.69
klok	5.70
mand	5.70
wieg	5.70
heks	5.70
slaag	5.70
soeplepel	5.70
aankleden	5.70
dierentuin	5.70
verkleden	5.70
soldaatjes	5.70
turnpantoffels	5.70
aarde	5.70
goudvis	5.71
brandweerauto	5.71
ikzelf	5.71
sla	5.71
leesboek	5.71
bek	5.71
blond	5.71
dicht	5.71
elf	5.71
gevaarlijk	5.71
god	5.71
jammer	5.71
koken	5.71
leggen	5.71
mug	5.71
plat	5.71
sandaal	5.71
slim	5.71
sluiten	5.71
sprong	5.71
tasje	5.72
papegaai	5.72
keukentafel	5.72
alle	5.72
altijd	5.72
beetje	5.72
bijen	5.72
druppel	5.72
feestje	5.72
kapstok	5.72
mezelf	5.72
schoenveter	5.72
coca	5.72
tijd	5.72
krul	5.73
haas	5.73
gans	5.73
pen	5.73
schop	5.73
laken	5.73
lente	5.73
kers	5.74
brief	5.74
feest	5.75
armband	5.75
buurman	5.75
dit	5.75
lerares	5.75
lieverdje	5.75
overtekenen	5.75
voorhoofd	5.75
lat	5.75
prik	5.76
zout	5.76
hoest	5.77
zalf	5.77
gang	5.77
brandweerman	5.77
handdoek	5.78
balpen	5.78
brengen	5.78
dragen	5.78
hoesten	5.78
laten	5.78
meter	5.78
rollen	5.78
rusten	5.78
rustig	5.78
zullen	5.78
kiezen	5.78
verrassing	5.78
tel	5.78
pink	5.78
achter	5.78
beneden	5.78
buren	5.78
fietser	5.78
huizen	5.78
huppelen	5.78
jassen	5.78
meespelen	5.78
om	5.78
pardon	5.78
toen	5.78
toverstokje	5.78
voorlezen	5.78
vooruit	5.78
park	5.78
knikkers	5.78
stad	5.79
naast	5.79
zieke	5.79
klei	5.79
broekzak	5.80
kaarsen	5.80
piet	5.80
pispot	5.80
rijtje	5.80
toverkunst	5.80
briefje	5.80
zin	5.80
keer	5.80
strik	5.80
cake	5.81
dodo	5.81
rust	5.81
boef	5.81
kapper	5.81
niets	5.81
knip	5.82
klop	5.82
niks	5.82
soepbord	5.82
einde	5.82
navel	5.83
weide	5.83
bedanken	5.83
danseres	5.83
knorren	5.83
opendoen	5.83
papiertje	5.83
peuteren	5.83
rugzak	5.83
schilderen	5.83
schoolfeest	5.83
speelruimte	5.83
spuitje	5.83
toverstaf	5.83
vanmiddag	5.83
zestien	5.83
zoenen	5.83
zonder	5.83
lichtblauw	5.83
bank	5.84
bliksem	5.84
delen	5.84
gewoon	5.84
kalm	5.84
kennen	5.84
klappen	5.84
modder	5.84
pil	5.84
schoon	5.84
schreeuw	5.84
schreeuwen	5.84
smijten	5.84
steken	5.84
tegen	5.84
vel	5.84
volgen	5.84
vouwen	5.84
zwaar	5.84
over	5.84
pis	5.84
camion	5.84
vos	5.84
kist	5.85
derde	5.85
ketting	5.85
anders	5.85
bergen	5.85
dinosaurus	5.85
kinderboek	5.85
middelste	5.85
poten	5.85
vijfjarig	5.85
veld	5.86
stank	5.86
berg	5.86
pantoffels	5.87
nagel	5.88
zelf	5.88
bonen	5.88
brand	5.88
taal	5.88
land	5.88
likstok	5.88
paal	5.88
brievenbus	5.88
plus	5.88
ijskast	5.89
klimmen	5.89
krant	5.89
antwoorden	5.89
buurmeisje	5.89
druppels	5.89
gehuil	5.89
gewonnen	5.89
glazen	5.89
goedenacht	5.89
hem	5.89
inkleuren	5.89
januari	5.89
meekijken	5.89
melkfles	5.89
muggen	5.89
nachtmerrie	5.89
stouterd	5.89
wei	5.89
zeventien	5.89
zwarte	5.89
gooi	5.90
tractor	5.90
cowboy	5.90
helemaal	5.90
woensdag	5.90
zesjarig	5.90
draaimolen	5.90
geboorte	5.90
graven	5.90
heel	5.90
karton	5.90
keelpijn	5.90
kruimel	5.90
lammetje	5.90
likken	5.90
niezen	5.90
plezier	5.90
rapen	5.90
schrik	5.90
sturen	5.90
vriendschap	5.90
winnaar	5.90
zoet	5.90
leren	5.90
pluimen	5.90
kuisen	5.90
borst	5.91
giraf	5.91
klets	5.91
hiep	5.92
uur	5.92
klim	5.92
saus	5.92
voordeur	5.93
elleboog	5.93
grootouder	5.93
muggenbeet	5.94
werk	5.94
appelboom	5.94
nest	5.94
agent	5.94
boeren	5.94
dertien	5.94
fietsbel	5.94
gemakkelijk	5.94
glimlachen	5.94
jezelf	5.94
kapotmaken	5.94
kerstvakantie	5.94
knikker	5.94
koprol	5.94
liever	5.94
me	5.94
nagels	5.94
pel	5.94
plakboek	5.94
smakelijk	5.94
tekenpapier	5.94
tof	5.94
tomatensaus	5.94
vierde	5.94
vijftien	5.94
voetpad	5.94
wanneer	5.94
rokje	5.94
achteruit	5.95
door	5.95
erachter	5.95
gekriebel	5.95
knikkeren	5.95
nergens	5.95
stukmaken	5.95
trommelen	5.95
dank	5.95
doek	5.95
film	5.95
