# Rodrigues, Branco, Neale, Silva (2016)
word1	word2	similarity	pos1	pos2
velho	novo	0	a	a
esperto	inteligente	8.33	a	a
duro	difícil	8.33	a	a
feliz	alegre	8.33	a	a
difícil	fácil	0	a	a
rápido	veloz	10	a	a
feliz	contente	10	a	a
curto	compido	0	a	a
estúpido	burro	9.17	a	a
esquisito	estranho	8.33	a	a
largo	estreito	0	a	a
mau	horrível	8.33	a	a
fácil	difícil	0	a	a
mau	terrível	7.5	a	a
difícil	simples	0	a	a
esperto	burro	0	a	a
insano	maluco	8.33	a	a
feliz	louco	5	a	a
grande	enorme	9.17	a	a
duro	difícil	8.33	a	a
novo	fresco	7.5	a	a
esperto	burro	0	a	a
rápido	veloz	10	a	a
estúpido	tolo	4.17	a	a
maravilhoso	formidável	9.17	a	a
estranho	esquisito	9.17	a	a
feliz	zangado	0.83	a	a
estreito	amplo	0	a	a
simples	fácil	10	a	a
velho	recente	0	a	a
evidente	óbvio	9.17	a	a
económico	barato	9.17	a	a
simpático	generoso	5.83	a	a
estranho	normal	0	a	a
esquisito	bizarro	9.17	a	a
mau	imoral	5.83	a	a
triste	divertido	0	a	a
maravilhoso	ótimo	9.17	a	a
culpado	envergonhado	4.17	a	a
bonito	maravilhoso	7.5	a	a
confiante	seguro	8.33	a	a
burro	estúpido	8.33	a	a
largo	grande	7.5	a	a
simpático	cruel	0	a	a
impaciente	ansioso	8.33	a	a
grande	amplo	7.5	a	a
forte	orgulhoso	1.67	a	a
desnecessário	necessário	0	a	a
inquieto	jovem	0.83	a	a
burro	inteligente	0	a	a
mau	ótimo	0	a	a
difícil	simples	0	a	a
necessário	importante	5.83	a	a
mau	formidável	0	a	a
louco	contente	0.83	a	a
honesto	culpado	0.83	a	a
fácil	difícil	0	a	a
fácil	flexível	5	a	a
certo	seguro	5.83	a	a
essencial	necessário	3.33	a	a
diferente	normal	3.33	a	a
astuto	esperto	10	a	a
crucial	importante	8.33	a	a
severo	cruel	7.5	a	a
infantil	tolo	3.33	a	a
escasso	raro	9.17	a	a
amigável	generoso	5.83	a	a
frágil	frígido	0.83	a	a
comprido	estreito	5.83	a	a
grande	pesado	5.83	a	a
duro	frígido	5.83	a	a
duro	rígido	8.33	a	a
bizarro	estranho	10	a	a
mau	culpado	2.5	a	a
moderno	antigo	0	a	a
novo	antigo	0	a	a
enfadonho	divertido	0	a	a
feliz	jovem	1.67	a	a
fácil	grande	0.83	a	a
ótimo	horrível	0	a	a
minúsculo	enorme	0	a	a
educado	apropriado	5.83	a	a
modesto	envergonhado	5	a	a
exótico	raro	3.33	a	a
burro	esperto	0	a	a
encantador	maravilhoso	7.5	a	a
notável	evidente	7.5	a	a
assustado	ansioso	5	a	a
formal	apropriado	5	a	a
aborrecido	enfadonho	8.33	a	a
encantador	animado	1.67	a	a
infeliz	louco	0.83	a	a
triste	terrível	1.67	a	a
doente	maluco	5.83	a	a
violento	zangado	5.83	a	a
carregado	pesado	6.67	a	a
sujo	reles	2.5	a	a
elástico	flexível	7.5	a	a
duro	denso	5.83	a	a
recente	novo	8.33	a	a
arrojado	orgulhoso	1.67	a	a
manhoso	estranho	2.5	a	a
estranho	manhoso	2.5	a	a
