# Postma, Vossen (2014)
word1	word2	similarity
morgen	draadje	0.025
hen	reis	0.175
monnik	slaaf	0.275
begraafplaats	woud	0.775
glas	magiër	0.975
bos	kerkhof	1.0
vogel	ezel	1.0
kust	bos	1.125
knul	tovenaar	1.15
oever	woud	1.225
akkoord	glimlach	1.225
kust	berg	1.25
monnik	orakel	1.325
knul	broeder	1.825
voedsel	hen	2.125
ezel	werktuig	2.175
kust	oever	2.65
tocht	auto	2.675
broeder	monnik	2.8
vogel	kip	3.05
voedsel	fruit	3.175
gereedschap	werktuig	3.275
oven	fornuis	3.35
edelsteen	juweel	3.35
inrichting	gekkenhuis	3.35
ochtend	morgen	3.625
tocht	reis	3.65
auto	wagen	3.725
jongen	knul	3.875
magiër	tovenaar	3.9
