# Rodrigues, Branco, Neale, Silva (2016)
word1	word2	similarity
amor	sexo	6.77
tigre	gato	7.35
tigre	tigre	10
livro	papel	7.46
computador	teclado	7.62
computador	internet	7.58
avião	carro	5.77
comboio	carro	6.31
telefone	comunicação	7.5
televisão	rádio	6.77
media	rádio	7.42
droga	abuso	6.85
pão	manteiga	6.19
pepino	batata	5.92
doutor	enfermeiro	7
professor	doutor	6.62
estudante	professor	6.81
inteligente	estudante	4.62
inteligente	estúpido	5.81
empresa	ação	7.08
valores	mercado	8.08
reserva	telemóvel	1.62
reserva	CD	1.31
reserva	Jaguar	0.92
reserva	ovo	1.81
fertilidade	óvulo	6.69
gado	vivo	3.73
ação	vida	0.92
livro	biblioteca	7.46
banco	dinheiro	8.12
bosque	floresta	7.73
dinheiro	dinheiro	9.15
professor	pepino	0.31
rei	couve	0.23
rei	rainha	8.58
rei	torre	5.92
bispo	rabino	6.69
Jerusalém	Israel	8.46
Jerusalém	palestino	7.65
sagrado	sexo	1.62
foda	sexo	9.44
Maradona	futebol	8.62
futebol	futebol	9.03
futebol	basquetebol	6.81
futebol	ténis	6.63
ténis	raquete	7.56
Arafat	paz	6.73
Arafat	terror	7.65
Arafat	Jackson	2.5
direito	advogado	8.38
filme	estrela	7.38
filme	pipocas	6.19
filme	crítico	6.73
filme	teatro	7.92
física	protão	8.12
física	química	7.35
espaço	química	4.88
álcool	química	5.54
vodca	gin	8.46
vodca	brande	8.13
bebida	carro	3.04
beber	ouvir	1.31
bebida	boca	5.96
beber	comer	6.87
bebé	mãe	7.85
bebida	mãe	2.65
carro	automóvel	8.94
pedra preciosa	joia	8.96
jornada	viagem	9.29
rapaz	garoto	8.83
costa	litoral	9.1
asilo	manicómio	8.87
mágico	feiticeiro	9.02
meio-dia	meio-dia	9.29
forno	fogão	8.79
comida	fruta	7.52
ave	galo	7.1
ave	grou	7.38
ferramenta	utensílio	6.46
irmão	monge	6.27
grua	instrumento	2.69
garoto	irmão	4.46
viagem	carro	5.85
monge	oráculo	5
cemitério	bosque	2.08
comida	galo	4.42
costa	colina	4.38
floresta	cemitério	1.85
litoral	bosque	3.08
monge	escravo	0.92
costa	floresta	3.15
jovem	feiticeiro	0.92
acorde	sorriso	0.54
copo	mágico	2.08
meio-dia	linha	0.54
galo	viagem	0.62
dinheiro	dólar	8.42
dinheiro	moeda	9.04
dinheiro	riqueza	8.27
dinheiro	propriedade	7.57
dinheiro	posse	7.29
dinheiro	banco	8.5
dinheiro	depósito	7.73
dinheiro	levantamento	6.88
dinheiro	lavagem	5.65
dinheiro	operação	3.31
tigre	jaguar	8
tigre	felino	8
tigre	carnívoro	7.08
tigre	mamífero	6.85
tigre	animal	7
tigre	organismo	4.77
tigre	fauna	5.62
tigre	jardim zoológico	5.87
psicologia	psiquiatria	8.08
psicologia	ansiedade	7
psicologia	medo	6.85
psicologia	depressão	7.42
psicologia	clínico	6.58
psicologia	doutor	6.42
psicologia	Freud	8.21
psicologia	mente	7.69
psicologia	saúde	7.23
psicologia	ciência	6.71
psicologia	disciplina	5.58
psicologia	cognição	7.48
planeta	estrela	8.45
planeta	constelação	8.06
planeta	lua	8.08
planeta	sol	8.02
planeta	galáxia	8.11
planeta	espaço	7.92
planeta	astrónomo	7.94
precedente	exemplo	5.85
precedente	informação	3.85
precedente	cognição	2.81
precedente	lei	6.65
precedente	coleção	2.5
precedente	grupo	1.77
precedente	antecedente	6.04
chávena	café	6.58
chávena	loiça	6.85
chávena	objeto	2.4
chávena	artefacto	2.92
chávena	objeto	3.69
chávena	entidade	2.15
chávena	bebida	7.25
chávena	comida	5
chávena	substância	1.92
chávena	líquido	5.9
jaguar	gato	7.42
Jaguar	carro	7.27
energia	secretária	1.81
secretária	senado	5.06
energia	laboratório	5.09
computador	laboratório	6.78
arma	secreto	6.06
FBI	impressão digital	6.94
FBI	investigação	8.31
investigação	esforço	4.59
Marte	água	2.94
Marte	cientista	5.63
notícia	reportagem	8.16
desfiladeiro	paisagem	7.53
imagem	superfície	4.56
descoberta	espaço	6.34
água	infiltração	6.56
sinal	intervalo	2.38
quarta-feira	notícia	2.22
milha	quilómetro	8.66
computador	notícia	4.47
território	superfície	5.34
atmosfera	paisagem	3.69
presidente	medalha	3
guerra	tropas	8.13
recorde	número	6.31
pele	olho	6.22
japonês	americano	6.5
teatro	história	3.91
voluntário	lema	2.56
preconceito	reconhecimento	3
decoração	bravura	5.63
século	ano	7.59
século	nação	3.16
atraso	racismo	1.19
atraso	notícias	3.31
ministro	partido	6.63
paz	plano	4.75
minoria	paz	3.69
tentativa	paz	4.25
governo	crise	6.56
preparação	partida	4.25
preparação	levantamento	5.88
energia	crise	5.94
anúncio	notícia	7.56
declaração	esforço	2.75
ataque	hospital	7.03
invalidez	morte	5.47
vítima	emergência	6.47
tratamento	recuperação	7.91
revista	associação	4.97
doutor	pessoal	5
doutor	responsabilidade	5.19
responsabilidade	seguro	7.03
escola	centro	3.44
causa	hipertensão	2.31
razão	critério	5.91
cem	porcento	7.38
Harvard	Yale	8.13
hospital	infraestrutura	4.63
morte	corredor	5.25
morte	presidiário	5.03
advogado	prova	6.69
vida	morte	7.88
vida	termo	4.5
palavra	semelhança	4.75
conselho	recomendação	4.47
governador	entrevista	3.25
OPEC	país	5.63
paz	atmosfera	3.69
paz	seguro	2.94
território	quilómetro	5.28
viagem	atividade	5
competição	preço	6.44
consumidor	confiança	4.13
consumidor	energia	4.75
problema	aeroporto	2.38
carro	voo	4.94
crédito	cartão	8.06
crédito	informação	5.31
hotel	reserva	8.03
mercearia	dinheiro	5.94
registo	acordo	6
preparação	alojamento	5.41
mês	hotel	1.81
