norm	adjusted r	adjusted r-squared	r-squared	r	source
imageability (young adults)	0.8755976056088589	0.7666711669479668	0.7705357366146297	0.8778016499270377	de-grandy-2020.tsv
imageability (older adults)	0.8704188350211318	0.7576289483595443	0.7614479387933071	0.8726098433969829	de-grandy-2020.tsv
emotionality (young adults)	0.7220426131093781	0.5213455351458192	0.5239734885994429	0.7238601305497098	de-grandy-2020.tsv
emotionality (older adults)	0.7293324479570362	0.5319258196430029	0.5346071052790475	0.7311683152866018	de-grandy-2020.tsv
valence	0.7729682709593274	0.5974799479098521	0.6653451535744456	0.8156869212966734	de-kanske-2010.tsv
arousal	0.7725922889921952	0.5968988450101996	0.6646980456683738	0.8152901604142992	de-kanske-2010.tsv
concreteness	0.848866083813841	0.7205736282494469	0.8024205214359097	0.8957792816514064	de-kanske-2010.tsv
potency	0.6228857554851998	0.3879866643863681	0.4109784667203751	0.6410760225748386	de-schauenburg-2015.tsv
authority	0.6480006501529056	0.41990484259858835	0.44478809253035656	0.6669243529294432	de-schauenburg-2015.tsv
community	0.6791600155465671	0.46125832671721334	0.4885921534856408	0.6989936719925587	de-schauenburg-2015.tsv
arousal	0.7426550575922808	0.5515365345673938	0.5842201810602764	0.7643429734486191	de-schauenburg-2015.tsv
valence	0.7698122622549199	0.5926109191180376	0.6277286032139213	0.792293255817517	de-schauenburg-2015.tsv
