	mean	sd	hpd_5%	hpd_95%	mcse_mean	mcse_sd	ess_mean	ess_sd	ess_bulk	ess_tail	r_hat
β intercept	0.188	0.122	-0.003	0.392	0.002	0.001	3495.0	3495.0	3537.0	4660.0	1.0
β corpus word count	0.332	0.078	0.201	0.457	0.001	0.001	5727.0	5727.0	5753.0	6346.0	1.0
β wiki vs. mean	-0.032	0.055	-0.125	0.053	0.001	0.0	10263.0	7211.0	10266.0	7895.0	1.0
β subs vs. mean	0.025	0.065	-0.079	0.136	0.001	0.001	6978.0	6978.0	6985.0	7648.0	1.0
β norms vs. mean	0.554	0.129	0.344	0.767	0.002	0.002	2999.0	2999.0	3001.0	4799.0	1.0
β analogies vs. mean	-0.532	0.182	-0.83	-0.235	0.003	0.002	3192.0	3192.0	3197.0	4926.0	1.0
β wiki vs. mean:norms vs. mean	-0.067	0.067	-0.18	0.04	0.001	0.001	7954.0	7257.0	7944.0	8177.0	1.0
β wiki vs. mean:analogies vs. mean	0.089	0.087	-0.055	0.231	0.001	0.001	8676.0	8035.0	8710.0	7369.0	1.0
β subs vs. mean:norms vs. mean	0.114	0.068	0.0	0.221	0.001	0.001	8006.0	7805.0	8014.0	8041.0	1.0
β subs vs. mean:analogies vs. mean	-0.252	0.086	-0.383	-0.101	0.001	0.001	8770.0	8569.0	8773.0	8463.0	1.0
μ̃ task[0]	0.636	0.718	-0.5	1.867	0.007	0.006	9692.0	6968.0	9668.0	7626.0	1.0
μ̃ task[1]	0.75	0.578	-0.168	1.724	0.009	0.006	3981.0	3981.0	3985.0	6122.0	1.0
μ̃ task[2]	0.508	0.543	-0.391	1.384	0.009	0.006	3500.0	3500.0	3509.0	5001.0	1.0
μ̃ task[3]	1.789	0.497	0.99	2.605	0.007	0.005	5631.0	5599.0	5638.0	7294.0	1.0
μ̃ task[4]	0.496	0.447	-0.222	1.247	0.005	0.004	7617.0	7276.0	7608.0	7411.0	1.0
μ̃ task[5]	0.033	0.495	-0.792	0.838	0.006	0.005	7881.0	4656.0	7877.0	7361.0	1.0
μ̃ task[6]	-1.213	0.663	-2.288	-0.138	0.006	0.005	10901.0	9413.0	10932.0	6881.0	1.0
μ̃ task[7]	0.5	0.475	-0.243	1.304	0.006	0.005	5596.0	5396.0	5580.0	6987.0	1.0
μ̃ task[8]	-0.943	0.564	-1.895	-0.058	0.009	0.006	3903.0	3903.0	3902.0	5515.0	1.0
μ̃ task[9]	0.643	0.649	-0.416	1.703	0.006	0.005	13597.0	7179.0	13678.0	7039.0	1.0
μ̃ task[10]	0.046	0.657	-1.059	1.101	0.006	0.007	12119.0	4665.0	12205.0	7154.0	1.0
μ̃ task[11]	0.151	0.651	-0.938	1.214	0.006	0.007	13300.0	4798.0	13339.0	7084.0	1.0
μ̃ task[12]	-0.715	0.551	-1.643	0.153	0.005	0.004	10911.0	7879.0	10940.0	6730.0	1.0
μ̃ task[13]	-0.574	0.642	-1.694	0.411	0.005	0.005	13955.0	7612.0	14001.0	6822.0	1.0
μ̃ task[14]	-0.906	0.549	-1.798	-0.01	0.006	0.004	9920.0	7782.0	9928.0	6884.0	1.0
μ̃ task[15]	-1.47	0.638	-2.492	-0.4	0.005	0.004	14899.0	12662.0	14897.0	7674.0	1.0
μ̃ task[16]	-1.294	0.638	-2.387	-0.292	0.006	0.004	13370.0	10351.0	13363.0	6846.0	1.0
μ̃ task[17]	0.569	0.438	-0.171	1.266	0.005	0.004	7189.0	7189.0	7177.0	6981.0	1.0
μ̃ task[18]	-0.575	0.543	-1.427	0.353	0.006	0.005	8863.0	6615.0	8904.0	7264.0	1.0
μ̃ task[19]	-0.259	0.466	-1.039	0.485	0.005	0.004	7688.0	6026.0	7689.0	7316.0	1.0
μ̃ task[20]	-1.394	0.559	-2.345	-0.509	0.006	0.004	10145.0	9606.0	10144.0	7456.0	1.0
μ̃ task[21]	-0.404	0.673	-1.472	0.73	0.006	0.006	12864.0	6272.0	13029.0	6647.0	1.0
μ̃ task[22]	-0.742	0.501	-1.524	0.098	0.005	0.004	9755.0	7932.0	9746.0	7438.0	1.0
μ̃ task[23]	-1.22	0.721	-2.387	-0.019	0.008	0.006	8599.0	7877.0	8584.0	7190.0	1.0
μ̃ task[24]	-0.693	0.679	-1.791	0.444	0.006	0.006	11749.0	7036.0	11787.0	7593.0	1.0
μ̃ task[25]	1.199	0.496	0.396	2.024	0.006	0.004	6775.0	6615.0	6761.0	6984.0	1.0
μ̃ task[26]	1.048	0.577	0.104	1.978	0.006	0.005	9528.0	8000.0	9609.0	7448.0	1.0
μ̃ task[27]	0.262	0.664	-0.805	1.362	0.006	0.007	13912.0	4397.0	13986.0	6337.0	1.0
μ̃ task[28]	-1.082	0.656	-2.182	-0.019	0.006	0.005	12971.0	10058.0	12983.0	7516.0	1.0
μ̃ task[29]	-0.214	0.566	-1.15	0.696	0.006	0.005	9071.0	5743.0	9104.0	6929.0	1.0
μ̃ task[30]	0.481	0.658	-0.562	1.596	0.006	0.006	13259.0	6175.0	13259.0	7265.0	1.0
μ̃ task[31]	1.353	0.653	0.308	2.462	0.006	0.005	12376.0	9890.0	12402.0	7236.0	1.0
μ̃ task[32]	1.118	0.643	0.068	2.158	0.006	0.005	11777.0	9786.0	11793.0	7018.0	1.0
μ̃ task[33]	-0.938	0.643	-1.979	0.137	0.007	0.005	9586.0	7194.0	9659.0	7719.0	1.0
μ̃ task[34]	0.926	0.522	0.061	1.77	0.006	0.005	6921.0	6272.0	6977.0	7580.0	1.0
μ̃ task[35]	0.266	0.46	-0.52	0.991	0.006	0.005	5133.0	5133.0	5165.0	6861.0	1.0
μ̃ task[36]	0.648	0.471	-0.131	1.398	0.006	0.005	5525.0	5160.0	5556.0	6104.0	1.0
